site_id,group,mae,rmse,nmae,nrmse,normalization_capacity,shape,stage,seed
8,fusion_shuffled,0.0753289983,0.1573517174,0.0753289983,0.1573517174,1.0000000000,"[2545, 24]",4A,2023
9,fusion_shuffled,0.0821754932,0.1720427424,0.0821754932,0.1720427424,1.0000000000,"[2545, 24]",4A,2023
0,chronos2_baseline,0.0563864820,0.1146576628,0.0563864820,0.1146576628,1.0000000000,"[2545, 24]",4B,2021
1,chronos2_baseline,0.0695754588,0.1518158764,0.0695754588,0.1518158764,1.0000000000,"[2545, 24]",4B,2021
2,chronos2_baseline,0.0642672479,0.1453535110,0.0642672479,0.1453535110,1.0000000000,"[2545, 24]",4B,2021
3,chronos2_baseline,0.0655679703,0.1446676403,0.0655679703,0.1446676403,1.0000000000,"[2545, 24]",4B,2021
4,chronos2_baseline,0.0681890026,0.1318674684,0.0681890026,0.1318674684,1.0000000000,"[2545, 24]",4B,2021
5,chronos2_baseline,0.0651458725,0.1418315768,0.0651458725,0.1418315768,1.0000000000,"[2545, 24]",4B,2021
6,chronos2_baseline,0.0737863928,0.1485624909,0.0737863928,0.1485624909,1.0000000000,"[2545, 24]",4B,2021
7,chronos2_baseline,0.0721924976,0.1380827278,0.0721924976,0.1380827278,1.0000000000,"[2545, 24]",4B,2021
8,chronos2_baseline,0.0576778241,0.1122439206,0.0576778241,0.1122439206,1.0000000000,"[2545, 24]",4B,2021
9,chronos2_baseline,0.0684688762,0.1349769235,0.0684688762,0.1349769235,1.0000000000,"[2545, 24]",4B,2021
0,stage4a_cross_attention,0.0505877510,0.0971789584,0.0505877510,0.0971789584,1.0000000000,"[2545, 24]",4B,2021
1,stage4a_cross_attention,0.0565209091,0.1072115600,0.0565209091,0.1072115600,1.0000000000,"[2545, 24]",4B,2021
2,stage4a_cross_attention,0.0464120880,0.0929958001,0.0464120880,0.0929958001,1.0000000000,"[2545, 24]",4B,2021
3,stage4a_cross_attention,0.0476507656,0.0976379365,0.0476507656,0.0976379365,1.0000000000,"[2545, 24]",4B,2021
4,stage4a_cross_attention,0.0505540892,0.0969820023,0.0505540892,0.0969820023,1.0000000000,"[2545, 24]",4B,2021
5,stage4a_cross_attention,0.0487395227,0.0987494886,0.0487395227,0.0987494886,1.0000000000,"[2545, 24]",4B,2021
6,stage4a_cross_attention,0.0573334843,0.1161314994,0.0573334843,0.1161314994,1.0000000000,"[2545, 24]",4B,2021
