horizon,aligned_mae,aligned_rmse,shuffled_mae,shuffled_rmse,raw24_mae,raw24_rmse,zero_mae,zero_rmse
56,0.3717326521873474,0.4388500452041626,0.21439434587955475,0.24107831716537476,0.12829455733299255,0.16385991871356964,0.2147747129201889,0.24082940816879272
57,0.37109866738319397,0.45126578211784363,0.2146250307559967,0.24140730500221252,0.128939688205719,0.1641726791858673,0.2147446572780609,0.24082154035568237
58,0.3072431683540344,0.37636303901672363,0.2146366387605667,0.24141113460063934,0.12816552817821503,0.16349910199642181,0.21468354761600494,0.24079401791095734
59,0.29974788427352905,0.38180381059646606,0.2144535779953003,0.2413465529680252,0.12696748971939087,0.16274559497833252,0.21457146108150482,0.24073456227779388
60,0.28324824571609497,0.38065305352211,0.21430742740631104,0.24090838432312012,0.12632571160793304,0.16234897077083588,0.21445444226264954,0.24066759645938873
61,0.2879178822040558,0.3661337196826935,0.21439236402511597,0.2410181611776352,0.12613323330879211,0.16231226921081543,0.21435923874378204,0.24061498045921326
62,0.268171101808548,0.33905336260795593,0.21435268223285675,0.24121098220348358,0.1265861988067627,0.16261780261993408,0.2142810821533203,0.24057312309741974
63,0.24357005953788757,0.2990725338459015,0.2145712524652481,0.24123570322990417,0.1276414692401886,0.1632862240076065,0.2142494022846222,0.24055606126785278
64,0.30437004566192627,0.3733849823474884,0.21439246833324432,0.2412080317735672,0.12848398089408875,0.16390956938266754,0.21424326300621033,0.24055097997188568
65,0.3347330391407013,0.4139781594276428,0.21494556963443756,0.2415936440229416,0.12831227481365204,0.16368812322616577,0.21423710882663727,0.24054951965808868
66,0.3380465507507324,0.42069098353385925,0.21502652764320374,0.2419118881225586,0.12725193798542023,0.1629234105348587,0.21423427760601044,0.2405494898557663
67,0.40889617800712585,0.5081099271774292,0.2150716781616211,0.2421320080757141,0.12585626542568207,0.16212771832942963,0.21423427760601044,0.2405494898557663
68,0.39719098806381226,0.48737284541130066,0.21515598893165588,0.24192272126674652,0.12500935792922974,0.1615232527256012,0.21423427760601044,0.2405494898557663
69,0.290009468793869,0.3575824201107025,0.21519063413143158,0.2417154759168625,0.12438295036554337,0.1605730801820755,0.21423421800136566,0.2405494600534439
70,0.26493045687675476,0.32940053939819336,0.21516741812229156,0.24152188003063202,0.12265939265489578,0.1591012328863144,0.21423354744911194,0.24054886400699615
71,0.2775591313838959,0.3508578836917877,0.2147105485200882,0.24091388285160065,0.1190117672085762,0.15642422437667847,0.21422487497329712,0.24054156243801117
72,0.26206305623054504,0.3214718699455261,0.21415074169635773,0.24083876609802246,0.11456298828125,0.15251755714416504,0.21417269110679626,0.2405039668083191
