window_id,t_origin,aligned_mae,shuffled_mae,raw24_mae,zero_mae
w443,2013-11-08 03:00:00,0.334480345249176,0.23287779092788696,0.1561998724937439,0.22807370126247406
w444,2013-11-08 04:00:00,0.3299020528793335,0.22650474309921265,0.16256321966648102,0.22809822857379913
w445,2013-11-08 05:00:00,0.30712392926216125,0.21451124548912048,0.1706317514181137,0.2272786796092987
w446,2013-11-08 06:00:00,0.3311205506324768,0.22704331576824188,0.16998372972011566,0.22602976858615875
w447,2013-11-08 07:00:00,0.3113100826740265,0.2277119904756546,0.1712050437927246,0.22528105974197388
w448,2013-11-08 08:00:00,0.3121240437030792,0.22894848883152008,0.17443373799324036,0.22513628005981445
w449,2013-11-08 09:00:00,0.3305357098579407,0.21931040287017822,0.1729915738105774,0.2253139764070511
w450,2013-11-08 10:00:00,0.33880412578582764,0.22450563311576843,0.17268483340740204,0.22567425668239594
w451,2013-11-08 11:00:00,0.3628647029399872,0.23170369863510132,0.17016014456748962,0.22598248720169067
w452,2013-11-08 12:00:00,0.350786954164505,0.2158658504486084,0.16983814537525177,0.22621096670627594
w453,2013-11-08 13:00:00,0.32738447189331055,0.23060379922389984,0.17131036520004272,0.22635716199874878
w454,2013-11-08 14:00:00,0.31640851497650146,0.22524923086166382,0.17333193123340607,0.22643835842609406
w455,2013-11-08 15:00:00,0.31566017866134644,0.22611784934997559,0.1740133911371231,0.22643177211284637
w456,2013-11-08 16:00:00,0.3162316083908081,0.23136462271213531,0.17481330037117004,0.22631706297397614
w457,2013-11-08 17:00:00,0.30183881521224976,0.22811290621757507,0.17347835004329681,0.2261369526386261
w458,2013-11-08 18:00:00,0.32682520151138306,0.23696893453598022,0.1723426729440689,0.22589188814163208
w459,2013-11-08 19:00:00,0.31010201573371887,0.2377287745475769,0.17075949907302856,0.22559088468551636
w460,2013-11-08 20:00:00,0.30703839659690857,0.22090917825698853,0.17393602430820465,0.22507265210151672
w461,2013-11-08 21:00:00,0.2861064374446869,0.23288610577583313,0.1745077222585678,0.22637775540351868
w462,2013-11-08 22:00:00,0.2821797728538513,0.21999332308769226,0.16486698389053345,0.22399455308914185
w463,2013-11-08 23:00:00,0.27723148465156555,0.21976369619369507,0.16203925013542175,0.22063684463500977
w464,2013-11-09 00:00:00,0.28110256791114807,0.2210930436849594,0.1671464741230011,0.21550384163856506
w465,2013-11-09 01:00:00,0.27611851692199707,0.2164272516965866,0.1652633100748062,0.21412664651870728
w466,2013-11-09 02:00:00,0.29054346680641174,0.21039964258670807,0.1559518724679947,0.21286413073539734
w467,2013-11-09 03:00:00,0.29641416668891907,0.21411718428134918,0.15683895349502563,0.2118159681558609
w468,2013-11-09 04:00:00,0.2943974733352661,0.21229402720928192,0.15602773427963257,0.21170204877853394
w469,2013-11-09 05:00:00,0.2931472361087799,0.21568663418293,0.1613072007894516,0.21125108003616333
w470,2013-11-09 06:00:00,0.3213334083557129,0.21464303135871887,0.1691930741071701,0.2115740180015564
w471,2013-11-09 07:00:00,0.2983967959880829,0.21658256649971008,0.17472884058952332,0.21069389581680298
w472,2013-11-09 08:00:00,0.3258771300315857,0.21713699400424957,0.16829612851142883,0.21074961125850677
w473,2013-11-09 09:00:00,0.3606206178665161,0.22131554782390594,0.16832464933395386,0.21108950674533844
w474,2013-11-09 10:00:00,0.39632776379585266,0.21430601179599762,0.1682841032743454,0.21147383749485016
w475,2013-11-09 11:00:00,0.43321555852890015,0.2164221554994583,0.16970914602279663,0.21186408400535583
w476,2013-11-09 12:00:00,0.41560983657836914,0.21138876676559448,0.16905099153518677,0.21220095455646515
w477,2013-11-09 13:00:00,0.354450523853302,0.21735896170139313,0.16680103540420532,0.21243147552013397
w478,2013-11-09 14:00:00,0.32668933272361755,0.22113598883152008,0.1660274863243103,0.21252809464931488
w479,2013-11-09 15:00:00,0.32342350482940674,0.2125546634197235,0.16568848490715027,0.21248404681682587
w480,2013-11-09 16:00:00,0.30663859844207764,0.21199201047420502,0.16531382501125336,0.21230943500995636
w481,2013-11-09 17:00:00,0.2837240993976593,0.20719043910503387,0.16828936338424683,0.21206547319889069
w482,2013-11-09 18:00:00,0.31076860427856445,0.2085479348897934,0.17307032644748688,0.21177400648593903
w483,2013-11-09 19:00:00,0.27630436420440674,0.2216971516609192,0.17156387865543365,0.21142202615737915
w484,2013-11-09 20:00:00,0.26120302081108093,0.2073066532611847,0.15857845544815063,0.2109559178352356
w485,2013-11-09 21:00:00,0.2800479531288147,0.20258785784244537,0.14236335456371307,0.20885834097862244
w486,2013-11-09 22:00:00,0.2885684669017792,0.22087208926677704,0.11958387494087219,0.21137483417987823
w487,2013-11-09 23:00:00,0.2950739860534668,0.2119881808757782,0.11953020095825195,0.21692560613155365
w488,2013-11-10 00:00:00,0.28432825207710266,0.21841709315776825,0.12821951508522034,0.21808630228042603
w489,2013-11-10 01:00:00,0.2746599018573761,0.22494255006313324,0.13969019055366516,0.22267787158489227
w490,2013-11-10 02:00:00,0.26158392429351807,0.22908300161361694,0.14799724519252777,0.2245257943868637
w491,2013-11-10 03:00:00,0.2718546390533447,0.20618143677711487,0.1594669222831726,0.22634847462177277
w492,2013-11-10 04:00:00,0.2860242426395416,0.2118627429008484,0.17176386713981628,0.22670800983905792
w493,2013-11-10 05:00:00,0.2864804267883301,0.22431564331054688,0.18548160791397095,0.22573931515216827
w494,2013-11-10 06:00:00,0.33292055130004883,0.2265976220369339,0.19681859016418457,0.22327075898647308
w495,2013-11-10 07:00:00,0.32752567529678345,0.19192320108413696,0.19242852926254272,0.2228206843137741
w496,2013-11-10 08:00:00,0.35129833221435547,0.23909708857536316,0.18961411714553833,0.22296105325222015
w497,2013-11-10 09:00:00,0.36844968795776367,0.22173839807510376,0.18745213747024536,0.22366762161254883
w498,2013-11-10 10:00:00,0.36159393191337585,0.23360861837863922,0.18740762770175934,0.22448284924030304
w499,2013-11-10 11:00:00,0.3801746368408203,0.2135382890701294,0.1871645152568817,0.22530968487262726
w500,2013-11-10 12:00:00,0.36228764057159424,0.22238022089004517,0.1892259269952774,0.22605293989181519
w501,2013-11-10 13:00:00,0.32282236218452454,0.22933480143547058,0.18921978771686554,0.22659969329833984
w502,2013-11-10 14:00:00,0.29662051796913147,0.2265261560678482,0.19107671082019806,0.2269398421049118
w503,2013-11-10 15:00:00,0.2922016382217407,0.22434960305690765,0.19157449901103973,0.22706450521945953
w504,2013-11-10 16:00:00,0.29371654987335205,0.23097197711467743,0.1930789202451706,0.22700507938861847
w505,2013-11-10 17:00:00,0.2886497378349304,0.22585900127887726,0.19386476278305054,0.22678939998149872
w506,2013-11-10 18:00:00,0.3327185809612274,0.2187172770500183,0.19516566395759583,0.2264583855867386
w507,2013-11-10 19:00:00,0.3176744878292084,0.21207697689533234,0.1968521773815155,0.22599440813064575
w508,2013-11-10 20:00:00,0.32404178380966187,0.24482625722885132,0.2047952264547348,0.22512595355510712
w509,2013-11-10 21:00:00,0.313447505235672,0.2344769388437271,0.20481577515602112,0.22192218899726868
w510,2013-11-10 22:00:00,0.34464114904403687,0.22175860404968262,0.21306981146335602,0.2239958494901657
w511,2013-11-10 23:00:00,0.3428010642528534,0.22596322000026703,0.22529101371765137,0.228436678647995
